sentence,sentiment,category
still believe directionally true people best chance survive thrive job loss come industry company people ai literate high performing people always true,postive,GenAI
welcome artificial intelligence show podcast help grow smarter making ai approachable actionable,postive,GenAI
name paul racery,neutral,GenAI
im founder ceo marketing institute im host,neutral,GenAI
week im joined co host marketing ai institute chief content officer mike caput break ai news matter give insight perspective use advance company career,postive,GenAI
join u accelerate lintelligent show,postive,GenAI
im host paul ratzer along co host always mike caput,neutral,GenAI
hey mike,neutral,GenAI
hey paul,neutral,GenAI
,neutral,GenAI
eclipse day,neutral,GenAI
,neutral,GenAI
recording monday april 8th one thousand and fifteen,neutral,GenAI
awesome weekend cleveland,postive,GenAI
daughter actually went woman final four championship yesterday really cool get take,postive,GenAI
shes twelve love basketball,postive,GenAI
cool experience get,postive,GenAI
cleveland like center world today,postive,GenAI
every airbnb sold,neutral,GenAI
every hotel sold,neutral,GenAI
people watch clip like prime range u see,postive,GenAI
waiting cloud go away hope everyones disappointed today,negative,GenAI
oh man,neutral,GenAI
alright,postive,GenAI
back spring break,neutral,GenAI
im trying get foot back week away,neutral,GenAI
lot time think,neutral,GenAI
didnt work much lot time think ai,neutral,GenAI
laying beach,neutral,GenAI
first thing im back spring break,neutral,GenAI
hopefully mind mind come along today,postive,GenAI
alright,postive,GenAI
today episode brought u rasa dotio,neutral,GenAI
ross say ultimate platform ai powered newsletter,neutral,GenAI
youre looking transform email newsletter powerful engaging tool truly resonates audience rossa,postive,GenAI
i0 game changer need,neutral,GenAI
smart newsletter platform personalizes content every subscriber ensuring every message send highly relevant incredibly engaging,postive,GenAI
tool also allows automate away tedious task go newsletter production stay ahead curve make email must read,neutral,GenAI
join five hundred plus organization already making newsletter smart,postive,GenAI
visit rasa,neutral,GenAI
i0maii today,neutral,GenAI
rasa,neutral,GenAI
i0 maii,neutral,GenAI
alright mike,postive,GenAI
let get rolling main topic,neutral,GenAI
sound good paul,postive,GenAI
first one company making money generative ai right actually consulting firm,neutral,GenAI
accenture reported 2nd quarter fiscal result line item result jumped ai watcher,neutral,GenAI
result company reported call quote generative ai new booking totaled six one hundred million past quarter,neutral,GenAI
"annualize current rate mean accenture track make whopping two billion, four hundred million year selling generative ai service",neutral,GenAI
selling exactly,neutral,GenAI
well result dont say speculation online actually entail,postive,GenAI
